epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9856,1.87917,65.0151,1.88836,0.01015,0.29555,0.01747,0.00716,1.64033,39.377,1.88732,6.672e-05,6.672e-05,6.672e-05
2,119.654,1.64487,15.9547,1.74046,0.40042,0.27226,0.28939,0.20765,1.35531,42.9353,1.61475,0.000137624,0.000137624,0.000137624
3,160.234,1.35994,8.33429,1.57756,0.68621,0.32667,0.38614,0.26478,1.27959,15.6135,1.48023,0.000207097,0.000207097,0.000207097
4,197.039,1.29194,6.19642,1.41499,0.64745,0.46895,0.56368,0.32967,1.29618,7.77763,1.50818,0.000275138,0.000275138,0.000275138
5,223.505,1.24723,5.02378,1.45194,0.64097,0.6747,0.69996,0.41458,1.32582,2.6652,1.49309,0.000341749,0.000341749,0.000341749
6,254.372,1.30309,4.60018,1.45369,0.81307,0.73324,0.82305,0.5136,1.31444,1.73339,1.44846,0.000406928,0.000406928,0.000406928
7,284.348,1.24333,3.64508,1.30378,0.73514,0.8697,0.86471,0.56048,1.18961,1.57112,1.35662,0.000470676,0.000470676,0.000470676
8,313.563,1.40316,3.45192,1.47428,0.83664,0.75861,0.87506,0.55027,1.26205,1.66998,1.40368,0.000517469,0.000517469,0.000517469
9,343.01,1.14214,3.17331,1.31471,0.81299,0.84308,0.93065,0.56316,1.22957,1.58248,1.40139,0.000511965,0.000511965,0.000511965
10,372.6,1.23689,2.71745,1.34041,0.73539,0.92079,0.93156,0.59385,1.15536,1.21769,1.34294,0.00050646,0.00050646,0.00050646
11,401.901,1.27362,2.46859,1.3297,0.8687,0.84959,0.94799,0.61584,1.13438,1.94628,1.33374,0.000500956,0.000500956,0.000500956
12,431.459,1.17796,2.39733,1.30795,0.82133,0.92373,0.952,0.62548,1.16706,0.9153,1.35174,0.000495452,0.000495452,0.000495452
13,461.982,1.29001,2.27329,1.41572,0.92366,0.97143,0.97138,0.65157,1.11728,0.84388,1.32223,0.000489947,0.000489947,0.000489947
14,491.108,1.22415,1.90514,1.31993,0.91064,0.92127,0.94965,0.64462,1.13668,0.86195,1.32094,0.000484443,0.000484443,0.000484443
15,523.57,1.19399,1.97125,1.30142,0.93724,0.93911,0.96353,0.66373,1.08711,0.78289,1.3118,0.000478938,0.000478938,0.000478938
16,554.04,1.1259,1.55799,1.26169,0.88963,0.95001,0.96051,0.65992,1.08793,0.86176,1.31058,0.000473434,0.000473434,0.000473434
